Date,Description,Debit,Credit
"May 31, 2025","GORDS RUNNING STORE LT, CALGARY",$188.95,
"May 30, 2025","TIM HORTONS #8438, CALGARY",$3.86,
"May 29, 2025","TIM HORTONS #8438, CALGARY",$3.86,
"May 27, 2025","TIM HORTONS #8438, CALGARY",$9.75,
"May 25, 2025","ZOOM.COM 888-799-9666, SAN JOSE",$10.50,
"May 24, 2025","TIM HORTONS #4329, CALGARY",$7.34,
"May 23, 2025","TIM HORTONS #4329, CALGARY",$2.09,
"May 22, 2025","TIM HORTONS #8438, CALGARY",$3.15,
"May 22, 2025","SQ *BALADI SHAWARMA, Calgary",$19.26,
"May 21, 2025","TIM HORTONS #8438, CALGARY",$3.44,
"May 21, 2025","PURCHASE INTEREST, 20.99%",$7.45,
"May 13, 2025",PAYMENT - THANK YOU / PAIEMENT - MERCI,,-$845.86
"May 8, 2025","TIM HORTONS #8438, CALGARY",$4.49,
"May 8, 2025","Spotify P36954D58B, Stockholm",$23.72,
"May 7, 2025","OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA
Foreign Currency",$31.99,
"May 5, 2025","TIM HORTONS #8438, CALGARY",$3.86,
"May 4, 2025","TIM HORTONS #8438, CALGARY",$4.19,
"May 2, 2025","TIM HORTONS #8438, CALGARY",$4.02,
"May 1, 2025","TIM HORTONS #8438, CALGARY",$4.19,
"May 1, 2025","SQ *PRECISION PERFORMA, CALGARY",$29.00,
